clone	size
1	10
2	7
3	18
4	55
5	23
6	2
7	57
8	20
9	5
10	8
11	17
12	52
13	12
14	32
15	52
16	7
17	1
18	41
19	11
20	22
21	15
22	17
23	24
24	14
25	52
26	40
27	51
28	1
29	14
30	15
31	9
32	98
33	17
34	58
35	4
36	17
37	35
38	4
39	18
40	23
41	4
42	26
43	44
44	43
45	16
46	14
47	10
48	16
49	21
50	18
51	59
52	12
53	3
54	46
55	5
56	11
57	1
58	84
59	11
60	19
61	25
62	9
63	11
64	6
65	6
66	3
67	4
68	1
69	5
70	41
71	1
72	50
73	17
74	6
75	44
76	32
77	8
78	17
79	38
80	52
81	6
82	20
83	43
84	26
85	38
86	30
87	24
88	37
89	9
90	16
91	81
92	13
93	42
94	21
95	10
96	29
97	11
98	14
99	1
100	53
101	45
102	29
103	27
104	2
105	18
106	5
107	6
108	60
109	8
110	70
111	24
112	31
113	8
114	81
115	9
116	7
117	5
118	56
119	40
120	17
121	18
122	12
123	87
124	56
125	2
126	39
127	27
128	8
129	17
130	41
131	18
132	28
133	28
134	52
135	43
136	48
137	43
138	52
139	7
140	32
141	2
142	92
143	57
144	2
145	8
146	20
147	10
148	18
149	32
150	5
151	27
152	5
153	30
154	3
155	47
156	8
157	3
158	13
159	6
160	13
161	14
162	11
163	23
164	69
165	66
166	35
167	5
168	17
169	3
170	4
171	21
172	49
173	40
174	44
175	3
176	28
177	82
178	22
179	15
180	24
181	15
182	8
183	24
184	24
185	22
186	31
187	71
188	11
189	4
190	29
191	16
192	1
193	28
194	26
195	6
196	35
197	17
198	45
199	31
200	15
201	20
202	9
203	29
204	42
205	12
206	48
207	26
208	2
209	34
210	14
211	1
212	20
213	21
214	44
215	94
216	27
217	24
218	34
219	12
220	5
221	24
222	2
223	1
224	24
225	4
226	58
227	26
228	33
229	51
230	22
231	14
232	12
233	31
234	12
235	7
236	10
237	25
238	5
239	17
240	28
241	18
242	16
243	12
244	62
245	15
246	11
247	7
248	5
249	16
250	50
251	19
252	8
253	13
254	14
255	10
256	6
257	6
258	38
259	6
260	23
261	29
262	2
263	2
264	6
265	84
266	17
267	2
268	10
269	2
270	5
271	24
272	7
273	79
274	5
275	50
276	10
277	17
278	5
279	8
280	6
281	20
282	50
283	52
284	28
285	11
286	37
287	36
288	8
289	35
290	5
291	20
292	32
293	25
294	12
295	9
296	2
297	13
298	21
299	1
300	13
301	15
302	59
303	17
304	7
305	2
306	49
307	16
308	39
309	25
310	1
311	7
312	28
313	14
314	8
315	4
316	2
317	27
318	30
319	124
320	21
321	146
322	55
323	8
324	13
325	9
326	26
327	12
328	10
329	55
330	23
331	21
332	26
333	66
334	23
335	8
336	17
337	4
338	4
339	1
340	19
341	41
342	108
343	6
344	58
345	26
346	30
347	13
348	12
349	42
350	19
351	1
352	1
353	39
354	34
355	13
356	8
357	15
358	8
359	24
360	2
361	18
362	30
363	24
364	49
365	19
366	25
367	10
368	45
369	4
370	13
371	33
372	13
373	2
374	7
375	1
376	65
377	12
378	7
379	4
380	73
381	22
382	7
383	76
384	39
385	19
386	123
387	53
388	9
389	2
390	9
391	15
392	14
393	1
394	19
395	52
396	31
397	31
398	25
399	121
400	23
401	17
402	113
403	3
404	46
405	13
406	11
407	7
408	99
409	46
410	13
411	41
412	16
413	16
414	25
415	79
416	13
417	11
418	42
419	28
420	12
421	105
422	15
423	33
424	6
425	11
426	30
427	57
428	21
429	46
430	189
431	59
432	21
433	7
434	5
435	22
436	10
437	25
438	33
439	8
440	9
441	26
442	5
443	41
444	1
445	29
446	33
447	17
448	1
449	32
450	67
451	21
452	3
453	9
454	21
455	5
456	3
457	87
458	8
459	29
460	6
461	36
462	42
463	5
464	11
465	41
466	58
467	2
468	10
469	2
470	24
471	26
472	34
473	13
474	5
475	28
476	27
477	48
478	15
479	61
480	9
481	41
482	2
483	4
484	46
485	16
486	62
487	51
488	35
489	2
490	5
491	1
492	10
493	10
494	5
495	34
496	7
497	11
498	1
499	34
500	11
501	69
502	36
503	21
504	13
505	21
506	6
507	10
508	16
509	11
510	61
511	17
512	2
513	20
514	20
515	9
516	5
517	6
518	12
519	11
520	44
521	6
522	2
523	32
524	5
525	5
526	11
527	4
528	45
529	19
530	78
531	55
532	21
533	9
534	36
535	44
536	24
537	5
538	60
539	54
540	8
541	31
542	2
543	17
544	6
545	3
546	15
547	21
548	4
549	5
550	39
551	11
552	10
553	50
554	31
555	20
556	7
557	2
558	9
559	25
560	54
561	9
562	30
563	22
564	16
565	33
566	61
567	16
568	24
569	10
570	4
571	64
572	64
573	38
574	3
575	1
576	34
577	13
578	7
579	3
580	4
581	3
582	3
583	46
584	42
585	21
586	39
587	37
588	38
589	12
590	8
591	20
592	9
593	64
594	15
595	20
596	63
597	3
598	11
599	6
600	4
601	39
602	3
603	1
604	95
605	52
606	8
607	10
608	6
609	2
610	14
611	34
612	13
613	4
614	10
615	38
616	48
617	12
618	20
619	24
620	29
621	1
622	33
623	8
624	23
625	10
626	14
627	12
628	12
629	6
630	4
631	9
632	40
633	75
634	26
635	5
636	32
637	2
638	5
639	24
640	50
641	4
642	11
643	40
644	4
645	6
646	16
647	22
648	10
649	4
650	58
651	28
652	85
653	12
654	21
655	45
656	4
657	22
658	25
659	3
660	17
661	36
662	8
663	1
664	2
665	27
666	2
667	16
668	55
669	60
670	24
671	28
672	3
673	64
674	28
675	18
676	31
677	59
678	25
679	25
680	27
681	22
682	24
683	12
684	24
685	8
686	21
687	8
688	1
689	19
690	4
691	21
692	2
693	15
694	10
695	46
696	1
697	11
698	50
699	63
700	6
701	10
702	15
703	11
704	71
705	85
706	20
707	13
708	12
709	6
710	2
711	71
712	24
713	8
714	70
715	16
716	1
717	4
718	9
719	1
720	28
