Sample	VCN_by_VIS
PD49226b_lo0001	0
PD49226b_lo0002	0
PD49226b_lo0003	0
PD49226b_lo0004	0
PD49226b_lo0005	0
PD49226b_lo0006	0
PD49226b_lo0007	0
PD49226b_lo0008	0
PD49226b_lo0009	0
PD49226b_lo0010	0
PD49226b_lo0011	0
PD49226b_lo0012	0
PD49226b_lo0013	0
PD49226b_lo0014	0
PD49226b_lo0015	0
PD49226b_lo0016	0
PD49226b_lo0017	0
PD49226b_lo0018	0
PD49226b_lo0019	0
PD49226b_lo0020	0
PD49226b_lo0021	0
PD49226b_lo0022	0
PD49226b_lo0023	0
PD49226b_lo0024	0
PD49226b_lo0025	0
PD49226b_lo0026	0
PD49226b_lo0027	0
PD49226b_lo0028	0
PD49226b_lo0029	0
PD49226b_lo0030	0
PD49226b_lo0031	0
PD49226b_lo0032	0
PD49226b_lo0033	0
PD49226b_lo0034	0
PD49226b_lo0035	0
PD49226b_lo0036	0
PD49226b_lo0037	0
PD49226b_lo0038	0
PD49226b_lo0039	0
PD49226b_lo0040	0
PD49226b_lo0041	0
PD49226b_lo0042	0
PD49226b_lo0043	0
PD49226b_lo0044	0
PD49226b_lo0045	0
PD49226b_lo0046	0
PD49226b_lo0047	0
PD49226b_lo0048	0
PD49226b_lo0049	0
PD49226b_lo0050	0
PD49226b_lo0051	0
PD49226b_lo0052	0
PD49226b_lo0053	0
PD49226b_lo0054	0
PD49226b_lo0055	0
PD49226b_lo0056	0
PD49226b_lo0058	0
PD49226b_lo0059	0
PD49226b_lo0061	0
PD49226b_lo0062	0
PD49226b_lo0063	0
PD49226b_lo0064	0
PD49226b_lo0065	0
PD49226b_lo0066	0
PD49226b_lo0067	0
PD49226b_lo0068	0
PD49226b_lo0069	0
PD49226b_lo0070	0
PD49226b_lo0071	0
PD49226b_lo0072	0
PD49226b_lo0073	0
PD49226b_lo0074	0
PD49226b_lo0075	0
PD49226b_lo0076	0
PD49226b_lo0077	0
PD49226b_lo0078	0
PD49226b_lo0079	0
PD49226b_lo0080	0
PD49226b_lo0081	0
PD49226b_lo0082	0
PD49226b_lo0083	0
PD49226b_lo0084	0
PD49226b_lo0085	0
PD49226b_lo0086	0
PD49226b_lo0087	0
PD49226b_lo0088	0
PD49226b_lo0089	0
PD49226b_lo0090	0
PD49226b_lo0091	0
PD49226b_lo0092	0
PD49226b_lo0093	0
PD49226b_lo0094	0
PD49226b_lo0095	0
PD49226b_lo0096	0
PD49226b_lo0097	0
PD49226b_lo0098	0
PD49226b_lo0099	0
PD49226b_lo0100	0
PD49226b_lo0101	0
PD49226b_lo0102	0
PD49226b_lo0103	0
PD49226b_lo0104	0
PD49226b_lo0105	0
PD49226b_lo0106	0
PD49226b_lo0107	0
