Sample	Chrom	Pos
PD49226b_lo0193	12	123057781
PD49226b_lo0195	5	80857191
PD49226b_lo0195	7	156566748
PD49226b_lo0196	1	155781403
PD49226b_lo0196	13	61017483
PD49226b_lo0197	19	943198
PD49226b_lo0198	2	25984038
PD49226b_lo0198	2	59807557
PD49226b_lo0198	7	155529605
PD49226b_lo0198	16	14632546
PD49226b_lo0198	17	61847495
PD49226b_lo0200	5	156867876
PD49226b_lo0201	10	76088803
PD49226b_lo0201	17	583541
PD49226b_lo0203	3	51650634
PD49226b_lo0203	3	81886728
PD49226b_lo0203	6	152227669
PD49226b_lo0203	11	46126458
PD49226b_lo0204	3	121789782
PD49226b_lo0204	4	146742578
PD49226b_lo0204	4	182190583
PD49226b_lo0205	5	100147042
PD49226b_lo0205	20	14502212
PD49226b_lo0206	1	10366660
PD49226b_lo0207	9	42223230
PD49226b_lo0207	9	68269877
PD49226b_lo0207	9	70618077
PD49226b_lo0207	12	109098981
PD49226b_lo0209	20	52541668
PD49226b_lo0210	20	33016853
PD49226b_lo0211	3	131216136
PD49226b_lo0211	6	70487914
PD49226b_lo0211	20	33500686
PD49226b_lo0212	4	120968190
PD49226b_lo0212	5	34948139
PD49226b_lo0212	16	807966
PD49226b_lo0212	18	22728943
PD49226b_lo0214	1	10366932
PD49226b_lo0215	16	29088276
PD49226b_lo0216	4	24551169
PD49226b_lo0216	12	55363331
PD49226b_lo0216	hs37d5	20797157
PD49226b_lo0217	13	47228696
PD49226b_lo0219	1	25103036
PD49226b_lo0219	4	54313069
PD49226b_lo0219	16	21469113
PD49226b_lo0219	16	22492326
PD49226b_lo0219	19	338391
PD49226b_lo0220	4	170644159
PD49226b_lo0220	13	60511315
PD49226b_lo0221	2	97906775
PD49226b_lo0221	2	98132456
PD49226b_lo0221	3	167420585
PD49226b_lo0221	4	18874
PD49226b_lo0221	4	36168940
PD49226b_lo0221	4	191034581
PD49226b_lo0221	9	36603220
PD49226b_lo0221	11	76580952
PD49226b_lo0221	12	10139093
PD49226b_lo0221	13	71013090
PD49226b_lo0221	14	63883102
PD49226b_lo0221	17	40517751
PD49226b_lo0221	18	33263999
PD49226b_lo0222	12	60095420
PD49226b_lo0223	16	266278
PD49226b_lo0224	17	35996354
PD49226b_lo0225	13	47228884
PD49226b_lo0227	13	115092316
PD49226b_lo0227	X	154068136
PD49226b_lo0228	1	114919661
PD49226b_lo0229	7	12768685
PD49226b_lo0229	16	53278800
PD49226b_lo0231	3	47732611
PD49226b_lo0231	16	29546007
PD49226b_lo0231	16	30286035
PD49226b_lo0232	8	54671408
PD49226b_lo0232	8	72809427
PD49226b_lo0232	17	65734018
PD49226b_lo0233	13	87677894
PD49226b_lo0234	1	51921088
PD49226b_lo0234	1	206881000
PD49226b_lo0234	3	21535362
PD49226b_lo0235	4	17508519
PD49226b_lo0235	17	29584518
PD49226b_lo0237	4	157678094
PD49226b_lo0237	6	134996013
PD49226b_lo0237	11	40118721
PD49226b_lo0237	12	6582110
PD49226b_lo0237	17	80880433
PD49226b_lo0239	5	75828102
PD49226b_lo0239	5	136034714
PD49226b_lo0239	11	68247436
PD49226b_lo0240	3	183226833
PD49226b_lo0241	3	122550951
PD49226b_lo0241	4	178353579
PD49226b_lo0241	8	48445686
PD49226b_lo0241	9	5083467
PD49226b_lo0241	10	116116660
PD49226b_lo0241	12	104890288
PD49226b_lo0241	16	18810620
PD49226b_lo0241	X	102053495
PD49226b_lo0242	9	79266513
PD49226b_lo0242	12	34184960
PD49226b_lo0242	12	60436917
PD49226b_lo0242	12	112452997
PD49226b_lo0242	20	39673768
PD49226b_lo0243	4	17508548
PD49226b_lo0243	17	29584491
PD49226b_lo0244	11	35035160
PD49226b_lo0245	1	167273814
PD49226b_lo0247	11	21529946
PD49226b_lo0247	16	89533080
PD49226b_lo0248	2	98195220
PD49226b_lo0248	6	31610508
PD49226b_lo0248	16	89822120
PD49226b_lo0248	17	18790976
PD49226b_lo0248	17	18792262
PD49226b_lo0248	19	47837000
